submission_date,state_name,tot_cases,new_cases,tot_deaths,new_deaths
06/26/2020,New York,393041,749,31095,29
02/25/2020,New York,0,0,0,0
02/18/2020,New York,0,0,0,0
07/13/2020,New York,404051,577,32088,19
01/11/2021,New York,1156626,14067,39627,186
03/25/2020,New York,32966,6608,332,101
09/27/2020,New York,456773,853,32837,12
09/23/2020,New York,453060,782,32802,6
03/23/2020,New York,21689,6521,156,69
03/14/2021,New York,1746955,7854,48731,91
08/16/2020,New York,426909,523,32535,9
03/09/2021,New York,1711908,6396,48267,93
01/06/2021,New York,1072468,17282,38697,171
05/22/2020,New York,355621,1998,28802,139
04/01/2020,New York,84735,10308,1672,365
02/09/2021,New York,1502143,6965,44958,176
06/15/2020,New York,380734,682,30645,40
09/29/2020,New York,458811,1195,32859,11
03/15/2020,New York,669,208,6,6
07/24/2020,New York,412062,922,32289,17
08/15/2020,New York,426386,1071,32526,14
11/27/2020,New York,636341,7808,34129,35
04/01/2021,Rhode Island,138406,428,2627,2
05/04/2020,Kentucky,5245,115,261,8
03/23/2020,New Hampshire,101,23,1,1
08/21/2020,Maryland,103523,624,3685,11
02/14/2020,District of Columbia,0,0,0,0
08/08/2020,Virgin Islands,528,0,9,0
02/08/2020,Washington,1,0,0,0
06/06/2020,Montana,540,0,18,0
05/02/2020,North Carolina,11509,586,420,21
07/01/2020,Federated States of Micronesia,0,0,0,0
04/23/2020,Federated States of Micronesia,0,0,0,0
01/23/2020,Wyoming,0,0,0,0
04/02/2021,Mississippi,305991,290,7055,4
01/24/2021,Indiana,611039,2520,9716,23
01/24/2020,New Hampshire,0,0,0,0
06/21/2020,Oregon,6937,187,190,1
11/08/2020,Delaware,26603,345,718,2
03/13/2020,Mississippi,1,0,0,0
12/10/2020,Wyoming,38223,338,299,0
04/08/2021,Minnesota,535182,2524,7000,14
08/01/2020,Maine,3958,21,123,0
12/29/2020,Missouri,429772,4884,5433,117
06/20/2020,Rhode Island,16355,35,942,4
12/11/2020,Maryland,232009,3538,5100,36
08/06/2020,Mississippi,64400,956,1825,21
04/10/2020,Louisiana,19253,970,755,53
04/08/2021,Virgin Islands,2971,17,26,0
10/28/2020,Idaho,61785,862,599,14
08/18/2020,Arizona,194920,915,4529,23
09/19/2020,Indiana,110759,1076,3503,8
06/09/2020,Nevada,10030,225,444,-17
05/22/2020,Oregon,3864,47,147,2
02/28/2020,Missouri,0,0,0,0
03/18/2020,Oregon,75,10,3,2
02/14/2020,Rhode Island,0,0,0,0
03/23/2020,Maine,109,16,0,0
04/07/2020,Nevada,2087,134,71,13
04/02/2020,Louisiana,9150,2726,310,37
10/06/2020,Montana,15723,425,192,1
07/14/2020,Mississippi,37542,0,1272,-1
09/23/2020,Nebraska,42278,493,462,1
08/13/2020,Vermont,1484,6,58,0
10/06/2020,Idaho,45082,660,492,5
06/18/2020,Washington,27192,408,1245,19
02/27/2020,North Dakota,0,0,0,0
09/29/2020,Vermont,1749,4,58,0
01/23/2021,Vermont,10908,149,170,1
02/28/2020,New Jersey,0,0,0,0
03/16/2020,Arizona,18,5,0,0
08/13/2020,Rhode Island,20314,88,1042,0
01/11/2021,North Dakota,94968,138,1355,3
12/15/2020,Federated States of Micronesia,0,0,0,0
10/08/2020,Indiana,129677,1450,3742,15
05/05/2020,Washington,15594,132,862,21
03/30/2020,North Dakota,109,11,3,2
12/18/2020,New Jersey,465901,4566,18124,44
12/09/2020,Illinois,812430,8256,14613,229
08/02/2020,Vermont,1426,5,57,0
02/23/2020,Minnesota,0,0,0,0
09/04/2020,Louisiana,152369,822,5035,14
02/24/2020,Maryland,0,0,0,0
09/23/2020,Indiana,113337,711,3530,10
09/26/2020,Idaho,40296,539,460,2
10/10/2020,Alabama,164526,1061,2664,11
07/30/2020,Wisconsin,56079,1091,926,8
02/05/2020,Nevada,0,0,0,0
04/28/2020,Delaware,4655,80,144,7
09/28/2020,Michigan,135702,1329,7051,7
04/22/2020,Louisiana,25317,463,1532,127
12/19/2020,Vermont,6343,100,108,1
12/04/2020,Rhode Island,64192,1500,1467,12
02/25/2020,Minnesota,0,0,0,0
03/02/2021,Michigan,649057,1642,16544,25
05/05/2020,Indiana,21033,526,1326,62
03/26/2021,Kentucky,424055,641,6008,27
03/13/2020,Virgin Islands,0,0,0,0
03/30/2021,Missouri,577008,698,8498,3
02/26/2021,Idaho,170907,312,1859,9
02/01/2020,Wisconsin,0,0,0,0
09/10/2020,Washington,78467,458,1985,7
02/10/2020,Oregon,0,0,0,0
09/25/2020,Federated States of Micronesia,0,0,0,0
07/05/2020,Connecticut,46717,0,4335,0
03/05/2021,Arizona,823384,2276,16269,84
04/05/2021,Louisiana,446737,1268,10165,4
01/27/2020,Maryland,0,0,0,0
07/13/2020,New Jersey,177044,286,15560,19
02/06/2020,Idaho,0,0,0,0
01/23/2020,Mississippi,0,0,0,0
02/08/2020,District of Columbia,0,0,0,0
12/13/2020,Illinois,848904,7216,15339,107
03/25/2021,Delaware,93038,219,1536,1
03/20/2020,New Hampshire,55,11,0,0
02/26/2020,Maryland,0,0,0,0
10/21/2020,Nebraska,60308,899,576,11
03/30/2021,District of Columbia,44413,165,1061,2
11/29/2020,Virgin Islands,1544,6,23,0
01/22/2021,Oregon,136839,866,1865,22
05/16/2020,Wisconsin,12187,502,453,8
04/05/2020,Wyoming,200,13,0,0
10/07/2020,Guam,2934,66,57,2
09/21/2020,North Dakota,18508,264,196,3
03/22/2020,Minnesota,236,99,1,0
04/13/2020,Guam,135,2,5,0
09/29/2020,Alabama,153554,571,2517,16
02/07/2020,Virgin Islands,0,0,0,0
09/25/2020,Washington,85226,988,2100,20
01/28/2021,Indiana,619995,2819,9879,34
12/07/2020,Guam,7019,15,113,0
04/02/2021,Delaware,95590,402,1565,6
01/28/2021,Nevada,274951,1078,4181,47
03/01/2020,Maine,0,0,0,0
04/08/2020,Kentucky,1346,197,73,8
03/31/2021,Montana,104552,231,1437,0
04/28/2020,Wyoming,536,16,7,0
12/04/2020,Alabama,264199,3840,3831,55
10/22/2020,Louisiana,181904,772,5799,9
02/16/2021,Idaho,167945,462,1806,3
12/31/2020,Arizona,520207,7718,8864,146
05/23/2020,Idaho,2626,31,79,0
08/29/2020,New Hampshire,7246,30,432,0
11/17/2020,Michigan,296840,7886,8511,80
10/13/2020,Maine,5816,36,143,0
08/04/2020,Oregon,19699,333,333,5
03/19/2020,Mississippi,80,30,1,1
04/29/2020,Nebraska,3784,410,68,13
03/19/2021,California,3538821,3287,56027,232
07/20/2020,North Carolina,101433,1291,1642,8
10/17/2020,Virgin Islands,1335,6,21,0
12/05/2020,Illinois,779975,9887,14017,235
10/09/2020,Virginia,157905,1256,3354,10
09/15/2020,Indiana,107229,689,3460,21
07/28/2020,Guam,351,2,5,0
04/07/2020,Montana,332,12,6,0
07/09/2020,Maine,3499,13,111,0
02/29/2020,California,12,1,0,0
08/21/2020,Nebraska,31626,278,376,3
02/10/2021,Guam,7686,13,130,0
03/05/2021,Maryland,386610,932,7941,11
06/14/2020,South Carolina,19643,763,623,5
03/30/2021,Virgin Islands,2907,0,26,0
05/01/2020,Federated States of Micronesia,0,0,0,0
03/18/2020,Minnesota,89,12,0,0
04/19/2020,Maryland,13684,1376,582,48
02/27/2021,Idaho,171140,233,1860,1
05/30/2020,Idaho,2839,36,82,0
05/29/2020,Virgin Islands,69,0,6,0
02/14/2020,Arizona,1,0,0,0
02/26/2021,South Carolina,520678,1669,8734,27
04/10/2021,Wisconsin,644901,950,7379,4
01/22/2020,Vermont,0,0,0,0
02/06/2020,Nevada,0,0,0,0
10/27/2020,Virgin Islands,1351,3,21,0
02/22/2021,Maryland,377628,662,7762,30
10/04/2020,Vermont,1785,7,58,0
08/16/2020,Guam,558,56,5,0
09/05/2020,Rhode Island,22273,37,1087,1
02/02/2021,Nebraska,192040,1090,1931,11
01/22/2020,Alabama,0,0,0,0
03/29/2020,California,5739,480,137,18
09/01/2020,Delaware,17535,0,605,0
10/14/2020,Indiana,139269,1165,3836,14
11/22/2020,Delaware,31808,487,748,2
02/16/2021,Minnesota,474621,452,6448,2
09/04/2020,South Carolina,128228,1576,2999,25
12/22/2020,Kentucky,247344,3047,2440,28
02/16/2021,Washington,329746,834,4709,34
10/23/2020,Delaware,23687,0,678,0
09/17/2020,Delaware,19378,144,619,0
12/06/2020,Nebraska,139834,1266,1205,11
06/03/2020,New Hampshire,4795,46,265,9
03/16/2020,District of Columbia,22,5,0,0
04/30/2020,Nevada,5007,109,252,15
04/11/2020,Federated States of Micronesia,0,0,0,0
02/08/2021,Nebraska,194168,446,1978,10
09/24/2020,Virginia,144433,941,3136,23
06/16/2020,Michigan,66269,184,6034,17
03/28/2021,Connecticut,305210,0,7865,0
07/18/2020,Vermont,1338,4,56,0
02/17/2021,New Hampshire,71964,749,1148,12
04/08/2021,Nebraska,213574,789,2219,36
04/09/2020,Federated States of Micronesia,0,0,0,0
08/29/2020,Vermont,1616,27,58,0
05/13/2020,Indiana,25473,346,1619,41
07/30/2020,Kentucky,29386,659,731,7
04/02/2020,Vermont,338,17,17,1
12/11/2020,Mississippi,177947,2665,4180,56
04/02/2021,Wyoming,56447,58,700,0
03/07/2020,Alabama,0,0,0,0
09/22/2020,New Hampshire,7990,38,438,0
11/14/2020,Maine,8944,153,165,1
02/01/2021,Virginia,510380,2740,6517,43
07/02/2020,Guam,286,6,5,0
03/30/2021,California,3566464,1996,57788,10
12/27/2020,Delaware,55057,584,897,2
02/13/2020,Indiana,0,0,0,0
10/12/2020,Wisconsin,160331,2016,1484,9
08/03/2020,Maine,3975,5,123,0
04/08/2021,New Hampshire,87441,506,1251,1
06/28/2020,Nevada,17397,821,522,0
04/06/2020,Wisconsin,2440,173,77,9
10/16/2020,California,861476,3075,16830,73
05/04/2020,Maryland,27117,709,1390,73
03/01/2020,Michigan,0,0,0,0
02/20/2021,Wyoming,53683,0,662,0
02/17/2020,Maryland,0,0,0,0
11/19/2020,District of Columbia,19678,213,667,2
06/14/2020,Rhode Island,16015,32,909,3
03/20/2021,Alabama,511087,508,10436,11
02/11/2021,New Jersey,736330,3656,22329,79
03/25/2021,Oregon,162806,421,2370,2
03/03/2021,Rhode Island,127733,422,2553,3
